Date,Age,Cases,Case Rate
2020-03-30,0 to 17,37,1.76
2020-03-30,18 to 40,918,28.4
2020-03-30,41 to 65,943,29.94
2020-03-30,over 65,467,39.83
2020-03-31,0 to 17,27,1.29
2020-03-31,18 to 40,1101,34.06
2020-03-31,41 to 65,1172,37.21
2020-03-31,over 65,553,47.16
2020-04-01,0 to 17,32,1.53
2020-04-01,18 to 40,1228,37.99
2020-04-01,41 to 65,1399,44.42
2020-04-01,over 65,669,57.05
2020-04-02,0 to 17,36,1.72
2020-04-02,18 to 40,1385,42.85
2020-04-02,41 to 65,1630,51.75
2020-04-02,over 65,787,67.12
2020-04-03,0 to 17,40,1.91
2020-04-03,18 to 40,1538,47.58
2020-04-03,41 to 65,1859,59.02
2020-04-03,over 65,907,77.35
2020-04-04,0 to 17,48,2.29
2020-04-04,18 to 40,1785,55.22
2020-04-04,41 to 65,2160,68.58
2020-04-04,over 65,1050,89.55
2020-04-05,0 to 17,57,2.72
2020-04-05,18 to 40,1989,61.54
2020-04-05,41 to 65,2451,77.82
2020-04-05,over 65,1156,98.59
2020-04-06,0 to 17,59,2.81
2020-04-06,18 to 40,2072,64.1
2020-04-06,41 to 65,2650,84.14
2020-04-06,over 65,1278,108.99
2020-04-07,0 to 17,73,3.48
2020-04-07,18 to 40,2246,69.49
2020-04-07,41 to 65,2892,91.82
2020-04-07,over 65,1364,116.33
2020-04-08,0 to 17,80,3.81
2020-04-08,18 to 40,2409,74.53
2020-04-08,41 to 65,3170,100.65
2020-04-08,over 65,1499,127.84
2020-04-09,0 to 17,81,3.86
2020-04-09,18 to 40,2491,77.07
2020-04-09,41 to 65,3363,106.78
2020-04-09,over 65,1608,137.14
2020-04-10,0 to 17,84,4.01
2020-04-10,18 to 40,2617,80.96
2020-04-10,41 to 65,3561,113.06
2020-04-10,over 65,1730,147.54
2020-04-11,0 to 17,91,4.34
2020-04-11,18 to 40,2726,84.34
2020-04-11,41 to 65,3744,118.88
2020-04-11,over 65,1848,157.6
2020-04-12,0 to 17,95,4.53
2020-04-12,18 to 40,2802,86.69
2020-04-12,41 to 65,3867,122.78
2020-04-12,over 65,1944,165.79
2020-04-13,0 to 17,97,4.63
2020-04-13,18 to 40,2851,88.2
2020-04-13,41 to 65,3949,125.38
2020-04-13,over 65,3032,258.58
2020-04-14,0 to 17,99,4.72
2020-04-14,18 to 40,2988,92.44
2020-04-14,41 to 65,4211,133.7
2020-04-14,over 65,2191,186.86
2020-04-15,0 to 17,103,4.91
2020-04-15,18 to 40,3063,94.76
2020-04-15,41 to 65,4421,140.37
2020-04-15,over 65,2318,197.69
2020-04-16,0 to 17,111,5.29
2020-04-16,18 to 40,3153,97.55
2020-04-16,41 to 65,4564,144.91
2020-04-16,over 65,2430,207.24
2020-04-17,0 to 17,117,5.58
2020-04-17,18 to 40,3278,101.41
2020-04-17,41 to 65,4776,151.64
2020-04-17,over 65,2587,220.63
2020-04-18,0 to 17,123,5.87
2020-04-18,18 to 40,3431,106.15
2020-04-18,41 to 65,5044,160.15
2020-04-18,over 65,2759,235.3
2020-04-19,0 to 17,127,6.06
2020-04-19,18 to 40,3503,108.38
2020-04-19,41 to 65,5154,163.64
2020-04-19,over 65,2869,244.68
2020-04-20,0 to 17,194,9.25
2020-04-20,18 to 40,4113,127.25
2020-04-20,41 to 65,5761,182.92
2020-04-20,over 65,3045,259.69
2020-04-21,0 to 17,240,11.44
2020-04-21,18 to 40,4593,142.1
2020-04-21,41 to 65,6333,201.08
2020-04-21,over 65,3229,275.38
2020-04-22,0 to 17,298,14.21
2020-04-22,18 to 40,5059,156.52
2020-04-22,41 to 65,6886,218.64
2020-04-22,over 65,3410,290.82
2020-04-23,0 to 17,335,15.98
2020-04-23,18 to 40,5435,168.15
2020-04-23,41 to 65,7278,231.08
2020-04-23,over 65,3658,311.97
2020-04-24,0 to 17,366,17.45
2020-04-24,18 to 40,5751,177.92
2020-04-24,41 to 65,7659,243.18
2020-04-24,over 65,3878,330.73
2020-04-25,0 to 17,378,18.03
2020-04-25,18 to 40,5914,182.97
2020-04-25,41 to 65,7878,250.13
2020-04-25,over 65,4036,344.21
2020-04-26,0 to 17,383,18.26
2020-04-26,18 to 40,6021,186.28
2020-04-26,41 to 65,8053,255.69
2020-04-26,over 65,4157,354.53
2020-04-27,0 to 17,442,21.08
2020-04-27,18 to 40,6385,197.54
2020-04-27,41 to 65,8380,266.07
2020-04-27,over 65,4255,362.88
2020-04-28,0 to 17,463,22.08
2020-04-28,18 to 40,6542,202.4
2020-04-28,41 to 65,8604,273.18
2020-04-28,over 65,4377,373.29
2020-04-29,0 to 17,532,25.37
2020-04-29,18 to 40,7094,219.47
2020-04-29,41 to 65,9188,291.73
2020-04-29,over 65,4637,395.46
2020-04-30,0 to 17,550,26.23
2020-04-30,18 to 40,7298,225.79
2020-04-30,41 to 65,9425,299.25
2020-04-30,over 65,4830,411.92
2020-05-01,0 to 17,609,29.04
2020-05-01,18 to 40,7718,238.78
2020-05-01,41 to 65,9795,311.0
2020-05-01,over 65,4959,422.92
2020-05-02,0 to 17,634,30.23
2020-05-02,18 to 40,7917,244.94
2020-05-02,41 to 65,10029,318.43
2020-05-02,over 65,5124,436.99
2020-05-03,0 to 17,669,31.9
2020-05-03,18 to 40,8199,253.66
2020-05-03,41 to 65,10306,327.22
2020-05-03,over 65,5254,448.08
2020-05-04,0 to 17,683,32.57
2020-05-04,18 to 40,8340,258.02
2020-05-04,41 to 65,10470,332.43
2020-05-04,over 65,5450,464.8
2020-05-05,0 to 17,789,37.63
2020-05-05,18 to 40,8968,277.45
2020-05-05,41 to 65,11060,351.17
2020-05-05,over 65,5694,485.61
2020-05-06,0 to 17,840,40.06
2020-05-06,18 to 40,9244,285.99
2020-05-06,41 to 65,11350,360.37
2020-05-06,over 65,5856,499.42
2020-05-07,0 to 17,876,41.77
2020-05-07,18 to 40,9491,293.63
2020-05-07,41 to 65,11648,369.83
2020-05-07,over 65,6028,514.09
2020-05-08,0 to 17,897,42.78
2020-05-08,18 to 40,9774,302.39
2020-05-08,41 to 65,11946,379.3
2020-05-08,over 65,6189,527.82
2020-05-09,0 to 17,942,44.92
2020-05-09,18 to 40,10112,312.85
2020-05-09,41 to 65,12281,389.93
2020-05-09,over 65,6332,540.02
2020-05-10,0 to 17,952,45.4
2020-05-10,18 to 40,10236,316.68
2020-05-10,41 to 65,12464,395.74
2020-05-10,over 65,6456,550.59
2020-05-11,0 to 17,979,46.69
2020-05-11,18 to 40,10426,322.56
2020-05-11,41 to 65,12673,402.38
2020-05-11,over 65,6583,561.42
2020-05-12,0 to 17,1037,49.45
2020-05-12,18 to 40,10828,335.0
2020-05-12,41 to 65,13005,412.92
2020-05-12,over 65,6694,570.89
2020-05-13,0 to 17,1099,52.41
2020-05-13,18 to 40,11236,347.62
2020-05-13,41 to 65,13466,427.56
2020-05-13,over 65,6937,591.61
2020-05-14,0 to 17,1150,54.84
2020-05-14,18 to 40,11580,358.26
2020-05-14,41 to 65,13736,436.13
2020-05-14,over 65,7043,600.65
2020-05-15,0 to 17,1193,56.89
2020-05-15,18 to 40,11879,367.51
2020-05-15,41 to 65,14044,445.91
2020-05-15,over 65,7210,614.9
2020-05-16,0 to 17,1252,59.7
2020-05-16,18 to 40,12253,379.08
2020-05-16,41 to 65,14415,457.69
2020-05-16,over 65,7378,629.22
2020-05-17,0 to 17,1295,61.76
2020-05-17,18 to 40,12531,387.68
2020-05-17,41 to 65,14619,464.17
2020-05-17,over 65,7452,635.54
2020-05-18,0 to 17,1325,63.19
2020-05-18,18 to 40,12723,393.62
2020-05-18,41 to 65,14775,469.12
2020-05-18,over 65,7510,640.48
2020-05-19,0 to 17,1423,67.86
2020-05-19,18 to 40,13159,407.11
2020-05-19,41 to 65,15193,482.39
2020-05-19,over 65,7510,640.48
2020-05-20,0 to 17,1524,72.68
2020-05-20,18 to 40,13660,422.61
2020-05-20,41 to 65,15663,497.31
2020-05-20,over 65,7798,665.04
2020-05-21,0 to 17,1601,76.35
2020-05-21,18 to 40,14063,435.08
2020-05-21,41 to 65,16040,509.28
2020-05-21,over 65,7991,681.5
2020-05-22,0 to 17,1668,79.54
2020-05-22,18 to 40,14411,445.85
2020-05-22,41 to 65,16394,520.52
2020-05-22,over 65,8123,692.76
2020-05-23,0 to 17,1740,82.98
2020-05-23,18 to 40,14814,458.32
2020-05-23,41 to 65,16761,532.18
2020-05-23,over 65,8247,703.34
2020-05-24,0 to 17,1795,85.6
2020-05-24,18 to 40,15155,468.87
2020-05-24,41 to 65,17106,543.13
2020-05-24,over 65,8376,714.34
2020-05-25,0 to 17,1888,90.03
2020-05-25,18 to 40,15593,482.42
2020-05-25,41 to 65,17436,553.61
2020-05-25,over 65,8495,724.49
2020-05-26,0 to 17,2070,98.71
2020-05-26,18 to 40,16380,506.77
2020-05-26,41 to 65,18098,574.63
2020-05-26,over 65,8650,737.71
2020-05-27,0 to 17,2153,102.67
2020-05-27,18 to 40,16727,517.5
2020-05-27,41 to 65,18380,583.58
2020-05-27,over 65,8752,746.4
2020-05-28,0 to 17,2225,106.1
2020-05-28,18 to 40,17139,530.25
2020-05-28,41 to 65,18772,596.03
2020-05-28,over 65,8865,756.04
2020-05-29,0 to 17,2382,113.59
2020-05-29,18 to 40,17908,554.04
2020-05-29,41 to 65,19375,615.17
2020-05-29,over 65,9023,769.52
2020-05-30,0 to 17,2590,123.51
2020-05-30,18 to 40,18811,581.98
2020-05-30,41 to 65,20052,636.67
2020-05-30,over 65,9185,783.33
2020-05-31,0 to 17,2702,128.85
2020-05-31,18 to 40,19389,599.86
2020-05-31,41 to 65,20460,649.62
2020-05-31,over 65,9325,795.27
2020-06-01,0 to 17,2770,132.09
2020-06-01,18 to 40,19827,613.41
2020-06-01,41 to 65,20815,660.9
2020-06-01,over 65,9422,803.55
2020-06-02,0 to 17,2865,136.62
2020-06-02,18 to 40,20322,628.72
2020-06-02,41 to 65,21203,673.21
2020-06-02,over 65,9534,813.1
2020-06-03,0 to 17,2946,140.49
2020-06-03,18 to 40,20790,643.2
2020-06-03,41 to 65,21562,684.61
2020-06-03,over 65,9631,821.37
2020-06-04,0 to 17,3061,145.97
2020-06-04,18 to 40,21348,660.47
2020-06-04,41 to 65,22063,700.52
2020-06-04,over 65,9842,839.36
2020-06-05,0 to 17,3139,149.69
2020-06-05,18 to 40,21925,678.32
2020-06-05,41 to 65,22572,716.68
2020-06-05,over 65,9997,852.58
2020-06-06,0 to 17,3230,154.03
2020-06-06,18 to 40,22503,696.2
2020-06-06,41 to 65,23009,730.56
2020-06-06,over 65,10146,865.29
2020-06-07,0 to 17,3392,161.76
2020-06-07,18 to 40,23146,716.09
2020-06-07,41 to 65,23522,746.84
2020-06-07,over 65,10274,876.21
2020-06-08,0 to 17,3473,165.62
2020-06-08,18 to 40,23512,727.42
2020-06-08,41 to 65,23798,755.61
2020-06-08,over 65,10337,881.58
2020-06-09,0 to 17,3577,170.58
2020-06-09,18 to 40,23996,742.39
2020-06-09,41 to 65,24219,768.98
2020-06-09,over 65,10446,890.88
2020-06-10,0 to 17,3711,176.97
2020-06-10,18 to 40,24457,756.65
2020-06-10,41 to 65,24605,781.23
2020-06-10,over 65,10562,900.77
2020-06-11,0 to 17,3937,187.74
2020-06-11,18 to 40,25248,781.12
2020-06-11,41 to 65,25223,800.85
2020-06-11,over 65,10675,910.41
2020-06-12,0 to 17,4086,194.85
2020-06-12,18 to 40,25944,802.66
2020-06-12,41 to 65,25748,817.52
2020-06-12,over 65,10804,921.41
2020-06-13,0 to 17,4254,202.86
2020-06-13,18 to 40,26623,823.66
2020-06-13,41 to 65,26221,832.54
2020-06-13,over 65,10960,934.71
2020-06-14,0 to 17,4340,206.96
2020-06-14,18 to 40,27048,836.81
2020-06-14,41 to 65,26554,843.11
2020-06-14,over 65,11060,943.24
2020-06-15,0 to 17,4428,211.16
2020-06-15,18 to 40,27455,849.4
2020-06-15,41 to 65,26792,850.67
2020-06-15,over 65,11090,945.8
2020-06-16,0 to 17,4545,216.74
2020-06-16,18 to 40,27987,865.86
2020-06-16,41 to 65,27235,864.74
2020-06-16,over 65,11243,958.85
2020-06-17,0 to 17,4829,230.28
2020-06-17,18 to 40,28887,893.71
2020-06-17,41 to 65,27897,885.76
2020-06-17,over 65,11400,972.24
2020-06-18,0 to 17,4915,234.38
2020-06-18,18 to 40,29311,906.83
2020-06-18,41 to 65,28226,896.2
2020-06-18,over 65,11499,980.68
2020-06-19,0 to 17,5042,240.44
2020-06-19,18 to 40,29881,924.46
2020-06-19,41 to 65,28672,910.36
2020-06-19,over 65,11611,990.23
2020-06-20,0 to 17,5244,250.07
2020-06-20,18 to 40,30795,952.74
2020-06-20,41 to 65,29348,931.83
2020-06-20,over 65,11779,1004.56
2020-06-21,0 to 17,5419,258.42
2020-06-21,18 to 40,31572,976.78
2020-06-21,41 to 65,29948,950.88
2020-06-21,over 65,11912,1015.9
2020-06-22,0 to 17,5720,272.77
2020-06-22,18 to 40,32831,1015.73
2020-06-22,41 to 65,30739,975.99
2020-06-22,over 65,12071,1029.46
2020-06-23,0 to 17,5889,280.83
2020-06-23,18 to 40,33914,1049.23
2020-06-23,41 to 65,31483,999.61
2020-06-23,over 65,12311,1049.93
2020-06-24,0 to 17,5954,283.93
2020-06-24,18 to 40,34360,1063.03
2020-06-24,41 to 65,31816,1010.19
2020-06-24,over 65,12443,1061.19
2020-06-25,0 to 17,6127,292.18
2020-06-25,18 to 40,35249,1090.54
2020-06-25,41 to 65,32412,1029.11
2020-06-25,over 65,12607,1075.17
2020-06-26,0 to 17,6304,300.62
2020-06-26,18 to 40,36081,1116.28
2020-06-26,41 to 65,32926,1045.43
2020-06-26,over 65,12730,1085.66
2020-06-27,0 to 17,6507,310.3
2020-06-27,18 to 40,37045,1146.1
2020-06-27,41 to 65,33555,1065.4
2020-06-27,over 65,12896,1099.82
2020-06-28,0 to 17,6706,319.79
2020-06-28,18 to 40,38312,1185.3
2020-06-28,41 to 65,34416,1092.74
2020-06-28,over 65,13065,1114.23
2020-06-29,0 to 17,6964,332.09
2020-06-29,18 to 40,39834,1232.39
2020-06-29,41 to 65,35304,1120.93
2020-06-29,over 65,13242,1129.33
2020-06-30,0 to 17,7210,343.83
2020-06-30,18 to 40,41194,1274.46
2020-06-30,41 to 65,36084,1145.7
2020-06-30,over 65,13401,1142.89
2020-07-01,0 to 17,7303,348.26
2020-07-01,18 to 40,41991,1299.12
2020-07-01,41 to 65,36652,1163.73
2020-07-01,over 65,13560,1156.45
2020-07-02,0 to 17,7494,357.37
2020-07-02,18 to 40,42983,1329.81
2020-07-02,41 to 65,37287,1183.9
2020-07-02,over 65,13728,1170.78
2020-07-06,0 to 17,8226,392.28
2020-07-06,18 to 40,47424,1467.21
2020-07-06,41 to 65,40123,1273.94
2020-07-06,over 65,14394,1227.58
2020-07-07,0 to 17,8647,412.35
2020-07-07,18 to 40,49445,1529.73
2020-07-07,41 to 65,41294,1311.12
2020-07-07,over 65,14638,1248.39
2020-07-08,0 to 17,8795,419.41
2020-07-08,18 to 40,50569,1564.51
2020-07-08,41 to 65,42032,1334.55
2020-07-08,over 65,14846,1266.13
2020-07-09,0 to 17,8877,423.32
2020-07-09,18 to 40,51293,1586.91
2020-07-09,41 to 65,42547,1350.91
2020-07-09,over 65,14988,1278.24
2020-07-10,0 to 17,9054,431.76
2020-07-10,18 to 40,52499,1624.22
2020-07-10,41 to 65,43307,1375.04
2020-07-10,over 65,15188,1295.29
2020-07-11,0 to 17,9282,442.63
2020-07-11,18 to 40,53913,1667.96
2020-07-11,41 to 65,44235,1404.5
2020-07-11,over 65,15398,1313.2
2020-07-12,0 to 17,9569,456.32
2020-07-12,18 to 40,55596,1720.03
2020-07-12,41 to 65,45216,1435.65
2020-07-12,over 65,15585,1329.15
2020-07-13,0 to 17,9788,466.76
2020-07-13,18 to 40,56888,1760.0
2020-07-13,41 to 65,46050,1462.13
2020-07-13,over 65,15764,1344.42
2020-07-14,0 to 17,10189,485.89
2020-07-14,18 to 40,58788,1818.79
2020-07-14,41 to 65,47359,1503.69
2020-07-14,over 65,16054,1369.15
