Setting Name,Setting Type,Number of Confirmed Staff,Number of Confirmed Non-Staff,Total Deaths
A Bridge Home - Casa Azul,Homeless Shelter,1,2,0
A Bridge Home - Eubank,Homeless Shelter,1,0,0
A Bridge Home - St. Andrew's,Homeless Shelter,2,2,0
A New Direction Transitional Housing,Homeless Shelter,1,7,1
Abundant Blessings From Above - 62nd St,Homeless Shelter,0,7,0
Abundant Blessings From Above 2412,Homeless Shelter,0,1,0
Anita May Rosenstein Campus LGBT Center,Homeless Shelter,3,0,0
Ascencia Homeless Shelter,Homeless Shelter,2,12,0
Aviva Family and Children's Services - Wallis House,Homeless Shelter,0,2,0
Ballington Plaza,Homeless Shelter,0,1,0
Bassett Park Winter Shelter,Homeless Shelter,1,10,0
Boyd Hotel,Single Room Occupancy Housing,0,2,0
Bridge Housing For Women,Homeless Shelter,4,3,0
Bridge Taper Shelter,Homeless Shelter,2,4,0
Bridge To Home,Homeless Shelter,0,1,1
Bryant Temple Women's Winter Shelter,Homeless Shelter,1,9,0
C3 Skid Row,Homeless Service Provider,7,3,0
Canaan House Family Transitional Housing,Homeless Shelter,0,1,0
Cardinal Manning Center,Homeless Shelter,1,5,1
Casa de Vida,Homeless Shelter,4,8,0
Charles Cobb Apartments,Single Room Occupancy Housing,1,2,0
Cloverfield,Homeless Shelter,4,0,0
Connections For Women,Homeless Shelter,0,11,0
Connections For Women 88th Street,Homeless Shelter,2,5,0
Connections For Women 116th Street,Homeless Shelter,0,6,0
Connections For Women Colden Ave,Homeless Shelter,0,6,0
Connections For Women Main Street,Homeless Shelter,0,1,0
Courtland Hotel,Single Room Occupancy Housing,0,1,0
Covenant House,Homeless Shelter,7,10,0
Crescent Hotel Apartments,Single Room Occupancy Housing,0,1,0
Desert Mac Facility,Homeless Shelter,0,3,0
Downtown Women's Center,Homeless Shelter,5,0,0
Downtown Women's Center (SRO),Single Room Occupancy Housing,3,0,0
Elden House,Homeless Shelter,1,3,0
Ellis Hotel,Single Room Occupancy Housing,0,1,0
Encampment - Boyle Heights #2,Homeless Encampment,0,1,0
Encampment - Central LA,Homeless Encampment,0,1,0
Encampment - Central LA #5,Homeless Encampment,0,5,0
Encampment - Central LA #8,Homeless Encampment,0,2,0
Encampment - Central LA #10,Homeless Encampment,0,1,0
Encampment - Central LA #12,Homeless Encampment,0,1,0
Encampment - Central LA #13,Homeless Encampment,0,1,0
Encampment - Central LA #18,Homeless Encampment,0,2,0
Encampment - Central LA #20,Homeless Encampment,0,1,0
Encampment - Central LA #21,Homeless Encampment,0,1,0
Encampment - Central LA #22,Homeless Encampment,0,1,0
Encampment - Central LA #23,Homeless Encampment,0,1,0
Encampment - Central LA #24,Homeless Encampment,0,1,0
Encampment - Central LA #27,Homeless Encampment,0,1,0
Encampment - Central LA #30,Homeless Encampment,0,1,0
Encampment - Central LA #32,Homeless Encampment,0,1,0
Encampment - Central LA #34,Homeless Encampment,0,1,0
Encampment - Central LA #35,Homeless Encampment,0,1,0
Encampment - Central LA #36,Homeless Encampment,0,1,0
Encampment - Central LA #37,Homeless Shelter,0,1,0
Encampment - Central LA #38,Homeless Encampment,0,1,0
Encampment - Compton,Homeless Encampment,0,7,0
Encampment - Downey,Homeless Encampment,0,1,0
Encampment - Eagle Rock,Homeless Encampment,2,1,0
Encampment - East Hollywood,Homeless Encampment,0,1,0
Encampment - East Hollywood #2,Homeless Encampment,0,1,0
Encampment - East LA #2,Homeless Encampment,0,1,0
Encampment - Hacienda Heights,Homeless Encampment,0,2,0
Encampment - Highland Park,Homeless Encampment,0,1,0
Encampment - Hollywood #5,Homeless Encampment,0,1,0
Encampment - Hollywood #9,Homeless Encampment,0,1,0
Encampment - Hollywood #10,Homeless Encampment,0,1,0
Encampment - Lincoln Heights #3,Homeless Encampment,0,1,0
Encampment - Lincoln Heights #4,Homeless Encampment,0,1,0
Encampment - Lynwood,Homeless Encampment,0,1,0
Encampment - MacArthur Park,Homeless Encampment,1,14,1
Encampment - Mission Hills #1,Homeless Encampment,0,1,0
Encampment - Montecito Heights,Homeless Encampment,0,1,0
Encampment - Montecito Heights #2,Homeless Encampment,1,0,0
Encampment - North Hollywood #3,Homeless Encampment,0,1,0
Encampment - North Hollywood Studio City,Homeless Encampment,0,2,0
Encampment - Norwalk #2,Homeless Encampment,0,2,0
Encampment - Panorama City #2,Homeless Encampment,0,1,0
Encampment - Redondo Beach,Homeless Encampment,0,1,0
Encampment - Safe Parking Glassell,Homeless Encampment,0,1,0
Encampment - Safe Parking Reseda,Homeless Encampment,0,1,0
Encampment - Safe Parking SPA 1,Homeless Encampment,3,0,0
Encampment - San Fernando,Homeless Encampment,0,1,0
Encampment - San Pedro #2,Homeless Encampment,0,4,0
Encampment - Santa Monica,Homeless Encampment,0,3,0
Encampment - Santa Monica #2,Homeless Encampment,0,3,0
Encampment - Signal Hill,Homeless Encampment,0,1,0
Encampment - Signal Hill #2,Homeless Encampment,0,1,0
Encampment - South Gate #2,Homeless Encampment,0,2,0
Encampment - South LA #9,Homeless Encampment,0,2,0
Encampment - South LA #10,Homeless Encampment,0,3,0
Encampment - South LA #11,Homeless Encampment,0,1,0
Encampment - South LA #12,Homeless Encampment,0,1,0
Encampment - South LA #13,Homeless Encampment,0,1,0
Encampment - South LA #14,Homeless Encampment,0,1,0
Encampment - South LA #15,Homeless Encampment,0,1,0
Encampment - South LA #16,Homeless Encampment,0,1,0
Encampment - South LA #17,Homeless Encampment,0,1,0
Encampment - Venice,Homeless Encampment,0,1,0
Encampment - West LA #1,Homeless Encampment,0,1,0
Encampment - West LA #4,Homeless Encampment,0,4,0
Encampment - Westmont,Homeless Encampment,0,1,0
Encampment - Wilmington #4,Homeless Encampment,0,1,0
Eugene Apartments,Single Room Occupancy Housing,2,11,1
Exodus Broadway,Homeless Shelter,0,6,0
Fair Opportunity For Change,Homeless Shelter,0,1,0
Fair Opportunity For Change #2,Homeless Shelter,0,1,0
Fair Opportunity For Change #3,Homeless Shelter,1,1,0
First To Serve - Coronado,Homeless Shelter,1,0,0
First To Serve - Mid City 3 Shelter,Homeless Shelter,0,3,0
First To Serve - San Pedro,Homeless Shelter,1,0,0
First To Serve - Vermont,Homeless Shelter,0,1,0
First To Serve - Vernon,Homeless Shelter,8,7,0
Florence Apartments,Single Room Occupancy Housing,0,1,0
Friendship Auditorium,Homeless Shelter,8,1,0
Good Shepherd Hawkes,Homeless Shelter,0,2,0
Good Shepherd Languille,Homeless Shelter,0,1,0
Grupo Empezar de Las Tinieblas A La Luz,Homeless Shelter,0,1,0
Harbor Interfaith - A Bridge Home San Pedro,Homeless Shelter,2,2,0
Harbor Interfaith 8th Street,Homeless Shelter,3,0,0
Harbor Interfaith 9th Street,Homeless Service Provider,6,0,0
Harbor Recuperative Care,Recuperative Care Center,1,6,0
Hart Hotel,Single Room Occupancy Housing,0,1,0
HOLA Recuperative Care,Recuperative Care Center,1,2,1
Holliday's Helping Hands,Homeless Shelter,4,0,0
Home at Last - Athens Park,Homeless Shelter,3,4,0
Home at Last - Vermont,Homeless Shelter,0,3,0
Homes For Life,Homeless Shelter,0,1,0
Hope of The Valley - A Bridge Home Van Nuys,Homeless Shelter,9,12,1
Hope of The Valley - North Hollywood,Homeless Shelter,0,2,0
Hope of The Valley - Pacoima Winter Shelter,Homeless Shelter,5,1,0
Hope of The Valley - The Landing,Homeless Shelter,0,1,0
HOPICS - Long Beach Ave,Homeless Shelter,1,0,0
House of Hope Transitional Housing,Homeless Shelter,0,1,0
Illumination Foundation Recuperative Care - LA,Recuperative Care Center,1,0,0
Illumination Foundation Recuperative Care - Santa Fe Springs,Recuperative Care Center,9,19,0
Inland Valley Council of Churches,Homeless Shelter,1,3,0
Jovenes - The Village,Homeless Shelter,0,3,0
Jovenes - Union Ave.,Homeless Shelter,1,0,0
Kensington Campus - Interim Housing,Homeless Shelter,3,1,0
La Jolla,Single Room Occupancy Housing,0,2,0
LAMP Village,Homeless Shelter,2,0,0
Las Americas Hotel,Single Room Occupancy Housing,2,4,0
Las Palomas Hotel,Single Room Occupancy Housing,4,0,0
Los Angeles Mission - Anne Douglas Center,Homeless Shelter,1,0,0
Los Angeles Mission - Men's Shelter,Homeless Shelter,0,1,0
Los Angeles Room and Board,Homeless Shelter,0,10,0
Luz En El Pensamiento,Homeless Shelter,1,2,0
Marshal House,Homeless Shelter,0,1,0
Martin Luther King Junior Recuperative Care Center,Recuperative Care Center,17,19,1
Motorcycle Riders For Homeless Parolees,Homeless Shelter,0,6,0
Ms. Hazel's House - 60th Street,Homeless Shelter,0,1,0
Ms. Hazel's House - 67th Street,Homeless Shelter,0,1,0
Ms. Hazel's House - 74th Street,Homeless Shelter,0,3,0
Ms. Hazel's House - 76th Street,Homeless Shelter,0,4,0
Ms. Hazel's House - Crocker Street,Homeless Shelter,0,5,0
Ms. Hazel's House - Edgehill Drive,Homeless Shelter,2,0,0
Ms. Hazel's House - Ruthelen Street,Homeless Shelter,0,4,0
Ms. Hazel's House - Wall Street,Homeless Shelter,2,2,0
My Friend's Place,Homeless Service Provider,3,0,0
National Health Foundation,Recuperative Care Center,1,1,0
New Directions For Veterans,Homeless Shelter,6,15,0
New Hope Temporary Shelter,Homeless Shelter,2,1,0
Norbo Hotel,Single Room Occupancy Housing,0,1,0
Pacoima Place,Single Room Occupancy Housing,0,1,0
Pan Pacific Park Recreation Center,Homeless Shelter,1,0,0
PATH - A Bridge Home Hollywood,Homeless Shelter,0,1,0
PATH - A Bridge Home Los Feliz,Homeless Shelter,3,10,0
PATH - A Bridge Home Venice,Homeless Shelter,1,0,0
PATH - Lodi,Homeless Shelter,0,1,1
PATH - Madison Interim Housing,Homeless Shelter,0,4,0
Pathways Transitional Housing,Homeless Shelter,0,8,0
Prentice Hotel,Single Room Occupancy Housing,0,1,0
Produce Hotel,Single Room Occupancy Housing,0,2,0
Prototypes - Bridge Housing,Homeless Shelter,0,3,0
Proyecto Pastoral - Dolores Mission,Homeless Shelter,1,1,0
Rainbow Apartments,Single Room Occupancy Housing,0,1,0
Rossmore Hotel,Single Room Occupancy Housing,1,0,0
Russ Hotel,Single Room Occupancy Housing,6,4,0
S. Mark Taper Foundation Family Living Center,Homeless Shelter,1,9,0
Safe Landing For Families,Homeless Shelter,0,7,0
Safe Sleep Program,Homeless Encampment,1,2,0
Salvation Army A Bridge Home Imperial Highway,Homeless Shelter,6,9,0
Salvation Army Aetna Bridge Home,Homeless Shelter,0,7,0
Salvation Army Bell Shelter,Homeless Shelter,12,34,1
Salvation Army Lily's Place,Homeless Shelter,1,0,0
San Fernando Valley Rescue Mission,Homeless Shelter,3,6,0
Sanborn Hotel,Single Room Occupancy Housing,0,1,0
Serenity Recuperative Care,Recuperative Care Center,2,1,0
Serenity Recuperative Care - Lakeview Terrace,Homeless Shelter,1,0,0
Shouridge House,Homeless Shelter,0,2,0
Shull House,Homeless Shelter,0,1,0
Simone Hotel,Single Room Occupancy Housing,0,1,0
Solar Recuperative Care,Homeless Shelter,3,18,1
South LA Women's Shelter,Homeless Shelter,0,2,0
St. Agnes Hotel,Single Room Occupancy Housing,0,1,0
St. George Hotel,Single Room Occupancy Housing,0,1,0
St. Joseph Center - Palms,Homeless Service Provider,3,0,0
St. Mark's Hotel,Single Room Occupancy Housing,0,1,0
Steinmetz Shelter,Homeless Shelter,0,1,0
Testimonial Community Love Center - 5721,Homeless Shelter,0,5,0
The Arroyo,Homeless Shelter,2,0,0
The King Edward,Single Room Occupancy Housing,0,1,0
The Madison Hotel,Single Room Occupancy Housing,0,1,0
The People Concern El Puente,Homeless Shelter,0,2,0
The Silver Villa,Homeless Shelter,0,1,0
The T-House,Homeless Shelter,1,2,0
The Whole Child Interim Safe Families Shelter,Homeless Shelter,2,0,0
TLP Taft,Homeless Shelter,0,1,0
Transitional Living Program - Lancaster,Homeless Shelter,0,4,0
Turning Point Housing,Homeless Shelter,0,1,0
Union Rescue Mission,Homeless Shelter,2,22,1
"US Veterans Initiative, Inglewood",Homeless Shelter,7,14,0
Valerio House,Homeless Shelter,0,1,0
Valley Oasis - 60th St,Homeless Shelter,1,2,0
Valley Oasis - Family Access Center,Homeless Service Provider,3,0,0
Ward Hotel,Single Room Occupancy Housing,0,1,0
Weingart Center,Homeless Shelter,0,1,0
Weingart Center - AB109,Homeless Shelter,0,1,0
Weingart Center - DHS,Homeless Shelter,0,1,0
Weingart Center - RSAAP,Homeless Shelter,1,0,0
Weingart Center - THP,Homeless Shelter,0,1,0
Weingart Civic Center A Bridge Home,Homeless Shelter,1,6,0
Whittier Narrows Shower Event,Homeless Hygiene Center,0,9,0
Whittier Senior Center,Homeless Shelter,2,12,0
Women's Care Cottage,Homeless Shelter,1,1,0
Zahn Memorial Center,Homeless Shelter,0,2,1
