Setting Name,Address,Total Confirmed Staff,Total Confirmed Non-Staff
LA County Fire Department - Fire Station 28,"7733 Greenleaf Ave, Whittier, CA, 90602",4,0
LA County Library,"7400 Imperial Hwy, Downey, CA, 90242",7,0
LA County Registrar-Recorder/County Clerk,"12680 Corral Pl, Santa Fe Springs, CA, 90670",3,0
LA County Registrar-Recorder/County Clerk Norwalk,"12400 Imperial Hwy Ste 2204, Norwalk, CA, 90650",13,0
LA County Sheriff's Department - Crescenta Valley Station,"4554 Briggs Ave, La Crescenta, CA, 91214",4,0
LA County Sheriff's Department - East Los Angeles Station,"5019 E 3rd St, Los Angeles, CA, 90022",13,0
LA County Sheriff's Department - Inmate Services Bureau Operations,"4700 W Ramona Blvd, Monterey Park, CA, 91754",5,0
LA County Sheriff's Department - Shooting Range,"29300 The Old Rd, Castaic, CA, 91384",4,0
LA County Sheriff's Department Academy,"1060 N Eastern Ave, Los Angeles, CA, 90063",22,0
La Mesa at Le Jardin,"1430 N Cahuenga Blvd, Hollywood, CA, 90028",6,0
LADWP - John Ferraro Bldg Ste A17,"111 N Hope St, Los Angeles, CA, 90012",5,0
LADWP - Northridge District,"18718 Rayen St, Northridge, CA, 91324",7,0
LAFD Fire Station 1,"2230 Pasadena Ave, Los Angeles, CA, 90031",11,0
LAFD Fire Station 25,"2927 Whittier Blvd, Los Angeles, CA, 90023",7,0
LAFD Fire Station 63,"1930 Shell Ave, Venice, CA, 90291",6,0
LAFD Fire Station 74,"7777 Foothill Blvd, Tujunga, CA, 91042",7,0
LAFD Fire Station 94,"4470 Coliseum St, Los Angeles, CA, 90016",5,0
Lake Balboa Lifeguard Station,"6300 Balboa Blvd, Van Nuys, CA, 91316",3,0
Lance Camper,"43120 Venture St, Lancaster, CA, 93535",21,0
Langer's Deli,"704 S Alvarado St, Los Angeles, CA, 90057",11,0
Langer's Juice Company,"16195 Stephens St, City of Industry, CA, 91745",21,0
LAPD 77th Street Community Police Station,"7600 S Broadway, Los Angeles, CA, 90003",29,0
LAPD Central Community Police Station,"251 E 6th St, Los Angeles, CA, 90014",29,0
LAPD Foothill Community Police Station,"12760 Osborne St, Pacoima, CA, 91331",14,0
LAPD Headquarters,"100 W 1st St, Los Angeles, CA, 90012",18,0
LAPD Newton Community Police Station,"3400 S Central Ave, Los Angeles, CA, 90011",50,0
LAPD Northeast Community Police Station,"3353 N San Fernando Rd, Los Angeles, CA, 90065",25,0
LAPD Southwest Community Police Station,"1546 W Martin Luther King Jr Blvd, Los Angeles, CA, 90062",19,0
LAPD Topanga Community Police Station,"21501 Schoenborn St, Canoga Park, CA, 91304",4,0
LAPD Van Nuys Community Police Station,"6240 Sylmar Ave, Van Nuys, CA, 91401",25,0
LAUSD M&O Food Services Unit,"2929 Sunrise St, Los Angeles, CA, 90023",4,0
Law Offices of Steffanie Stelnick,"28001 Smyth Dr, Ste 101, Valencia, CA, 91355",4,0
Law Offices of Todd L Melnik,"20920 Warner Center Ln, Woodland Hills, CA, 91367",3,0
LAWA Police,"7303 World Way W, Los Angeles, CA, 90045",5,0
LAX Terminal 4 - Areas USA,"400 World Way, Los Angeles, CA, 90045",3,0
LAX Terminal 5 - JetBlue Airways,"500 World Way, Los Angeles, CA, 90045",7,0
Level Furnishing,"888 S Olive St, Los Angeles, CA, 90014",14,0
Lexus of Cerritos,"18800 Studebaker Rd, Cerritos, CA, 90703",11,0
LF Illumination,"9200 Deering Ave, Chatsworth, CA, 91311",17,0
Lincare,"21821 Plummer St, Chatsworth, CA, 91311",4,0
Line 204 LLC,"12224 Montague St, Pacoima, CA, 91331",6,0
Lisi Aerospace,"2600 Skypark Dr, Torrance, CA, 90505",18,0
Little Caesars Pizza #5903,"751 S Workman St, San Fernando, CA, 91340",7,0
Live Play Mobile,"3951 Higuera St, Culver City, CA, 90232",3,2
Location Secret Charm,"1433 Walnut St, Los Angeles, CA, 90011",9,0
Los Amigos Restaurant,"2825 W Olive Ave, Burbank, CA, 91505",4,0
Los Angeles Dodgers LLC,"1000 Vin Scully Ave, Los Angeles, CA, 90012",12,1
Los Angeles Football Club Performance Center,"5401 Paseo Rancho Castilla, Los Angeles, CA, 90032",3,0
"Los Angeles Motor Cars, Inc.","2025 S Figueroa St, Los Angeles, CA, 90007",28,0
Louis Vuitton US Manufacturing - Irwindale,"4775 Irwindale Ave, Irwindale, CA, 91706",14,0
Louis Vuitton US Manufacturing - San Dimas,"321 W Covina Blvd, San Dimas, CA, 91773",15,0
"LYMI, Inc.","2263 E Vernon Ave, Vernon, CA, 90058",21,0
Marathon Petroleum,"2350 E 223rd St, Carson, CA, 90810",34,0
Masonry Concepts,"13000 Venice Blvd, Los Angeles, CA, 90066",3,0
MATT Construction,"5860 W Jefferson Blvd, Los Angeles, CA, 90016",4,0
MATT Construction #2,"1111 S Broadway, Los Angeles, CA, 90015",4,0
McDonald's #1411,"1133 N La Brea Ave, West Hollywood, CA, 90038",7,0
McDonald's #5213,"1185 Durfee Ave, South El Monte, CA, 91733",5,0
McDonald's #7963,"15000 Whittier Blvd, Whittier, CA, 90603",3,0
McDonald's #11826,"101 W Manchester Ave, Los Angeles, CA, 90003",6,0
McDonald's #14283,"4480 E Olympic Blvd, Los Angeles, CA, 90023",14,0
McDonald's #14473,"3868 E 3rd St, Los Angeles, CA, 90063",8,0
McDonald's #25565,"11240 Glenoaks Blvd, Pacoima, CA, 91331",5,0
"MCI Foods, Inc.","13013 Molette St, Santa Fe Springs, CA, 90670",18,0
McStarlite Company,"1531 240th St, Harbor City, CA, 90710",6,0
MDR Fertility Pharmacy - Encino,"17071 Ventura Blvd, 100, Encino, CA, 91316",7,0
MedReach Ambulance,"1303 Kona Dr, Compton, CA, 90220",5,0
Mejuri,"8404 Melrose Ave, Los Angeles, CA, 90069",3,0
Menzies Aviation,"5625 W Imperial Hwy, Los Angeles, CA, 90045",13,0
Mercury Air Cargo Building 213,"6040 Avion Dr, Los Angeles, CA, 90045",18,0
Mercury Air Cargo Building 216,"6041 W Imperial Hwy, Los Angeles, CA, 90045",17,0
"Mercury Plastics, Inc.","14825 Salt Lake Ave, City of Industry, CA, 91746",17,0
Metro Division 13,"920 N Vignes St, Los Angeles, CA, 90012",11,0
Metropolitan Courthouse,"1945 S Hill St, Los Angeles, CA, 90007",8,0
Michael Kors Distribution Center,"3777 Workman Mill Rd, Whittier, CA, 90601",55,0
Michaels Arts and Craft Store - Burbank,"1551 N Victory Pl, Burbank, CA, 91502",6,0
Michaels Distribution Center (1),"3501 W Avenue H, Lancaster, CA, 93536",9,0
Michaels Distribution Center (2),"3501 W Avenue H, Lancaster, CA, 93536",12,0
"Micronova Manufacturing, Inc.","3431 Lomita Blvd, Torrance, CA, 90505",6,0
Milo Sro Restaurant,"826 Pico Blvd, Santa Monica, CA, 90405",5,0
Miracle Works,"730 Los Angeles Ave, Monrovia, CA, 91016",5,0
Mission Foods Corp.,"5505 E Olympic Blvd, Commerce, CA, 90022",81,0
"Mission Foods, Panorama","14200 Arminta St, Panorama City, CA, 91402",17,0
Mistras,"8427 Atlantic Ave, Cudahy, CA, 90201",29,0
Mohawk Western Plastics,"1496 Arrow Hwy, La Verne, CA, 91750",11,0
Moo Gung International,"2910 Ross St, Vernon, CA, 90058",5,0
Morley Construction Company,"5500 W 98th St, Los Angeles, CA, 90045",28,0
Morton Manufacturing,"201 E Avenue K15, Lancaster, CA, 93535",17,0
Moss & Company Property Management - Zelzah Court Apartments,"9810 Zelzah Ave, Northridge, CA, 91325",4,0
Motor Car Parts of America,"2929 California St, Torrance, CA, 90503",36,0
MV Transportation #183,"21222 S Wilmington Ave, Carson, CA, 90810",6,0
National Notary Association,"9350 De Soto Ave, Chatsworth, CA, 91311",20,0
National Rent A Car (Enterprise),"9020 Aviation Blvd, Inglewood, CA, 90301",14,0
National Wire & Cable Corp.,"136 N San Fernando Rd, Los Angeles, CA, 90031",10,0
NBC Universal - Mr. Mayer Production,"100 Universal City Plz, Bldg 5225, Universal City, CA, 91608",12,0
NBC Universal Stage 1,"3900 Lankershim Boulevard, Stage 1, Building 2230, Studio City, CA, 91604",11,0
Netflix Productions,"18421 S Main St, Gardena, CA, 90248",9,0
New Hampshire Ball Bearings,"9700 Independence Ave, Chatsworth, CA, 91311",16,0
New Vac,"9330 De Soto Ave, Chatsworth, CA, 91311",12,0
Nippon Express,"300 Westmont Dr, San Pedro, CA, 90731",14,0
Nissan of Universal City,"3550 Cahuenga Blvd W, Los Angeles, CA, 90068",14,0
Nissan of West Covina,"205 N Citrus St, West Covina, CA, 91791",7,0
Nordstrom #322,"300 Los Cerritos Mall, Cerritos, CA, 90703",15,0
Northeast Valley Health Center - Call Center,"531 5th St, Suite A, San Fernando, CA, 91340",5,0
Northridge Mills,"1901 1st St, San Fernando, CA, 91340",9,0
Northrop Grumman - Azusa,"1111 W 3rd St, Azusa, CA, 91702",17,0
Northrop Grumman - Palmdale,"3520 E Avenue M, Palmdale, CA, 93550",275,0
Novacap LLC,"25111 Anza Dr, Valencia, CA, 91355",33,0
O' Tasty Foods,"160 S Hacienda Blvd, City of Industry, CA, 91745",13,0
Onstage Dance Center,"11711 Woodruff Ave, Downey, CA, 90241",1,2
"Ontic Engineering and Manufacturing, Inc.","20400 Plummer St, Chatsworth, CA, 91311",14,0
OnTrac Shipping - Commerce,"5959 Randolph St, Commerce, CA, 90040",41,0
Pacific Maritime Association,"614 Terminal Way, San Pedro, CA, 90731",8,0
Packaging Corporation of America,"4240 Bandini Blvd, Vernon, CA, 90058",5,0
Panda Express #2521,"8315 Laurel Canyon Blvd, Sun Valley, CA, 91352",5,0
Pankow Construction #2,"8899 Beverly Blvd, West Hollywood, CA, 90048",29,0
Paramount Exclusive Insurance,"15760 Ventura Blvd, Encino, CA, 91436",7,0
Parkhouse Tires,"5960 Shull St, Bell Gardens, CA, 90201",40,0
PB Fasteners,"1700 W 132nd St, Gardena, CA, 90249",12,0
Peninsula Hotel,"9882 Santa Monica Blvd, Beverly Hills, CA, 90212",13,0
Penske Truck Leasing Co.,"1104 N Eastern Ave, Los Angeles, CA, 90063",4,0
Performance Ford,"2000 E Garvey Ave S, West Covina, CA, 91791",10,0
"Pinto Express, Inc.","1001 W Walnut St, Compton, CA, 90220",7,0
PLS Cash Checking,"1605 S Hoover St, Los Angeles, CA, 90006",6,0
Pomona Police Department,"490 W Mission Blvd, Pomona, CA, 91766",13,0
Popcornopolis LLC,"3200 E Slauson Ave, Vernon, CA, 90058",22,0
Porto's Bakery & Cafe Burbank,"3614 W Magnolia Blvd, Burbank, CA, 91505",11,0
"PRC Restoration, Inc.","23839 Banning Blvd, Carson, CA, 90745",14,0
Premier Auto Credit,"6502 Van Nuys Blvd, Van Nuys, CA, 91401",8,0
"Pro Packing, Inc.","100 Broad Ave, Wilmington, CA, 90744",4,0
Promotional Design Concepts,"9872 Rush St, South El Monte, CA, 91733",12,0
"R & R Masonry, Inc.","6010 Avion Dr, Los Angeles, CA, 90045",10,0
R3 Los Angeles,"15959 Piuma Ave, Cerritos, CA, 90703",6,0
"Rancho Foods, Inc.","2528 E 37th St, Vernon, CA, 90058",31,0
Revolve,"12889 Moore St, Cerritos, CA, 90703",28,0
Reynaldo's Mexican Food Co.,"3301 E Vernon Ave, Vernon, CA, 90058",8,0
RH Peterson Co.,"14724 Proctor Ave, City of Industry, CA, 91746",85,0
"Ritz Flooring, Inc.","14909 Calvert St, Van Nuys, CA, 91411",3,0
Riverpark Apartments,"27303 Sara St, Canyon Country, CA, 91387",6,0
Robert F. Chapman (Metal Fabrication),"43100 Exchange Pl, Lancaster, CA, 93535",30,0
Robinson Helicopter Company,"2901 Airport Dr, Torrance, CA, 90505",12,0
Rose Hills Memorial Park and Mortuary,"3888 Workman Mill Rd, Whittier, CA, 90601",9,0
Rowland Unified District Office - Fiscal Department,"1830 Nogales St, Rowland Heights, CA, 91748",4,0
Royal Truck Body,"24200 Main St, Carson, CA, 90745",12,0
RTC Aerospace,"20409 Prairie St, Chatsworth, CA, 91311",31,0
RTI Services,"2836 Vail Ave, Commerce, CA, 90040",7,0
Rudolph & Sletten,"3525 W 8th St, Los Angeles, CA, 90005",9,0
S & A Property Solution,"6747 Odessa Ave, #103 , Van Nuys, CA, 91406",5,0
Safran Passenger Solutions,"1500 Glenn Curtiss St, Carson, CA, 90746",12,0
Salvation Army Retail Store,"1940 W Pico Blvd, Los Angeles, CA, 90006",4,0
Sam's Club #26,"4901 Santa Anita Ave, El Monte, CA, 91731",26,0
San Gabriel/MTS Management,"7955 San Fernando Rd, Sun Valley, CA, 91352",4,0
Saunders Midwest NUPLA LLC,"11912 Sheldon St, Sun Valley, CA, 91352",10,0
"Schrey & Sons Mold Co., Inc.","24735 Rockefeller Ave, Valencia, CA, 91355",3,0
"Sea Win, Inc.","526 Stanford Ave, Los Angeles, CA, 90013",12,0
Seafood City Supermarket,"134 S Vermont Ave # 140, Los Angeles, CA, 90004",5,0
Sectran Security,"7633 Industry Ave, Pico Rivera, CA, 90660",5,0
Senior Aerospace SSP,"2980 N San Fernando Blvd, Burbank, CA, 91504",47,0
Shell Gas Station Vermont,"700 S Vermont Ave, Los Angeles, CA, 90005",7,0
"Signal Products, Inc.","4270 S Maywood Ave, Vernon, CA, 90058",3,0
Smiles and Tears Foster Agency,"925 N Garey Ave, Pomona, CA, 91767",5,0
Smithfield,"3049 E Vernon Ave, Vernon, CA, 90058",421,0
Smurfit Kappa North America,"440 Baldwin Park Blvd, City of Industry, CA, 91746",16,0
"Southwest Airlines, Hollywood Burbank Airport","2627 N Hollywood Way, Burbank, CA, 91505",11,0
Space Corporation,"1 Rocket Rd, Hawthorne, CA, 90250",3,0
Spears Manufacturing Company,"15853 Olden St, Sylmar, CA, 91342",13,0
Sprouts Farmers Market #411,"8985 Venice Blvd, Los Angeles, CA, 90034",7,0
Sprouts Farmers Market #418,"1375 Foothill Blvd, La Verne, CA, 91750",5,0
"Square-H Brands, Inc.","2731 S Soto St, Vernon, CA, 90058",20,0
St. Peter Chanel Parish,"12001 214th St, Hawaiian Gardens, CA, 90716",10,0
Staples #1499 Koreatown,"3223 W 6th St, Los Angeles, CA, 90020",5,0
Star Nail / Cuccio,"29120 Avenue Paine, Valencia, CA, 91355",22,0
Starbucks Mission Hills,"11109 Sepulveda Blvd, Mission Hills, CA, 91345",5,0
Starbucks Montebello,"2501 W Whittier Blvd, Montebello, CA, 90640",5,0
Stonefire Grill #2,"6405 Fallbrook Ave, West Hills, CA, 91307",7,0
Subway,"4954 Van Nuys Blvd, 107, Sherman Oaks, CA, 91403",3,0
Sugarbloom Bakery LLC,"4126 Verdugo Rd, Los Angeles, CA, 90065",4,0
"Super A Foods, Los Angeles","2925 Division St, Los Angeles, CA, 90065",5,0
Superior Court of California - Stanley Mosk Courthouse,"111 N Hill St, Los Angeles, CA, 90012",17,0
Superior Grocers #114,"151 S Hacienda Blvd, City of Industry, CA, 91745",5,0
Sutter Street Manufacturing,"21700 Baker Pkwy, City of Industry, CA, 91789",144,0
Synedgen,"1420 N Claremont Blvd, Claremont, CA, 91711",3,0
Tamarack Studios,"8615 Tamarack Ave, Sun Valley, CA, 91352",17,0
Target - Alhambra,"2120 W Main St, Alhambra, CA, 91801",31,0
Target - La Cienega Blvd,"3535 S La Cienega Blvd, Los Angeles, CA, 90016",32,0
Target - Rosemead,"3600 Rosemead Blvd, Rosemead, CA, 91770",15,0
Target - Van Nuys #1307,"5711 Sepulveda Blvd, Van Nuys, CA, 91411",11,0
Target - Van Nuys #1309,"14920 Raymer St, Van Nuys, CA, 91405",28,0
Target - West Hollywood,"7100 Santa Monica Blvd, West Hollywood, CA, 90046",18,0
Techmer PM,"18420 S Laurel Park Rd, Rancho Dominguez, CA, 90220",23,0
Tempur-Sealy Mattress Company,"825 Ajax Ave, City of Industry, CA, 91748",17,0
The Bicycle Hotel & Casino,"888 Bicycle Casino Dr, Bell Gardens, CA, 90201",11,0
The Habit Burger Grill - Chatsworth,"9243 Winnetka Ave, Chatsworth, CA, 91311",3,0
The Habit Burger Grill - Diamond Bar,"257 S Diamond Bar Blvd, Diamond Bar, CA, 91765",5,0
The Habit Burger Grill - Downey,"8619 Firestone Blvd, Downey, CA, 90241",4,0
The Habit Burger Grill - Echo Park,"2134 W Sunset Blvd, A, Los Angeles, CA, 90026",3,0
The Habit Burger Grill - South Gate,"4791 Firestone Blvd, South Gate, CA, 90280",4,0
The Line Hotel,"3515 Wilshire Blvd, Los Angeles, CA, 90010",9,0
The Matian Firm,"3701 Wilshire Blvd, Suite 210, Los Angeles, CA, 90010",5,0
The Orsini/DHP Property Management Corp.,"550 N Figueroa St, Los Angeles, CA, 90012",5,0
The Salvation Army Siemon Family Community Center,"7651 S Central Ave, Los Angeles, CA, 90001",4,0
"Thibiant International, Inc.","20320 Prairie St, Chatsworth, CA, 91311",7,0
Time Tec Watch Service Center,"635 S Hill St, #209, Los Angeles, CA, 90014",5,0
TK Services,"6118 Alcoa Ave, Vernon, CA, 90058",5,0
Toyota of Culver City,"9077 Washington Blvd, Culver City, CA, 90232",32,0
"Toyota of Downey, Penske","9136 Firestone Blvd, Downey, CA, 90241",7,0
Toyota of Lancaster,"43301 12th St W, Lancaster, CA, 93534",6,0
"Toyota, Frontier","23621 Creekside Rd, Valencia, CA, 91355",8,0
"Toyota, Longo","3534 Peck Rd, El Monte, CA, 91731",28,0
Trader Joe's Glendale,"103 E Glenoaks Blvd, Glendale, CA, 91207",7,0
Trader Joe's Los Angeles - Glendon Ave,"1000 Glendon Ave, Los Angeles, CA, 90024",8,0
Trader Joe's North Hollywood,"6130 Laurel Canyon Blvd, North Hollywood, CA, 91606",9,0
Transdev-Foothill Transit,"5640 Peck Rd, Arcadia, CA, 91006",25,0
Truman House Tavern,"911 San Fernando Rd, San Fernando, CA, 91340",7,0
UCLA Campus Police (UCPD),"601 Westwood Plz, Los Angeles, CA, 90095",7,0
UCLA Research Support Unit,"221 Westwood Plaza, Los Angeles, CA, 90095",6,0
Universal Waste Systems,"10120 Miller Way, South Gate, CA, 90280",11,0
"UPS - Boyle Trailer Shop, Vernon","4925 S Boyle Ave, Vernon, CA, 90058",4,0
Us Airforce Plant 42 Fire Station,"2501 E Avenue S, Palmdale, CA, 93550",9,0
USC Facilities Management Services,"3434 S Grand Ave, Los Angeles, CA, 90089",10,0
USC Hotel,"1031 W 34th St, Los Angeles, CA, 90089",6,1
USPS - Carson Annex,"24760 Main St, Carson, CA, 90745",14,0
VACCO Industries,"10350 Vacco St, South El Monte, CA, 91733",19,0
Valencia Management Group,"27644 Newhall Ranch Rd, Unit #45, Valencia, CA, 91355",5,0
Valencia Water Treatment Facility Construction Site,"28185 The Old Rd, Valencia, CA, 91355",11,0
Vallarta Supermarket #08,"9136 Sepulveda Blvd, North Hills, CA, 91343",4,0
Vallarta Supermarket #25,"3425 Whittier Blvd, Los Angeles, CA, 90023",12,0
Vallarta Supermarket #26,"9011 Woodman Ave, Arleta, CA, 91331",8,0
Vallarta Supermarkets Corporate Office,"10147 San Fernando Rd, Pacoima, CA, 91331",16,0
Vallereinis.Com (Valle Reinis Builders),"2 Latimer Rd, Santa Monica, CA, 90402",4,0
Valley Thrift Store - Azusa,"777 W Foothill Blvd, Azusa, CA, 91702",5,0
Value Valley Center,"13630 Victory Blvd, Van Nuys, CA, 91401",23,0
Vance & Hines,"13861 Rosecrans Ave, Santa Fe Springs, CA, 90670",5,0
Veggie Grill - Toluca Lake,"4300 W Riverside Dr, Burbank, CA, 91505",9,0
Velvet LLC,"3961 Landmark St, Culver City, CA, 90232",6,0
"Vernon Sales, Inc.","2788 E Vernon Ave, Vernon, CA, 90058",5,0
Vision Produce,"1651 Bay St, Los Angeles, CA, 90021",4,0
Vista Sotheby's International Realty,"16 Malaga Cove Plz, Palos Verdes Estates, CA, 90274",4,0
Volvo Santa Monica,"1631 Santa Monica Blvd, Santa Monica, CA, 90404",8,0
Warner Bros Television - Lucifer,"4000 Warner Blvd, Bldg 28/ Suite 1300, Burbank, CA, 91522",13,0
Warner Bros Television - The Kominsky Method,"4000 Warner Blvd, Burbank, CA, 91522",10,0
Warner Bros Television - Young Sheldon,"4000 Warner Blvd, Building 191, Burbank, CA, 91522",12,0
Waste Management - Azusa Transfer Station and Recycling Center,"1501 W Gladstone St, Azusa, CA, 91702",7,0
WebCor Builders,"945 W 8th St, Los Angeles, CA, 90017",15,0
WebCor General Contractor,"9000 W 3rd St, Los Angeles, CA, 90048",31,0
Wells Fargo Bank - El Monte,"9000 Flair Dr, El Monte, CA, 91731",21,0
Western Bagel,"11628 Santa Monica Blvd, Los Angeles, CA, 90025",4,0
Westlake Financial Services,"29851 Agoura Rd, Agoura Hills, CA, 91301",4,0
"Whole Foods Market, 23rd & Wilshire Blvd","2201 Wilshire Blvd, Santa Monica, CA, 90403",12,0
"Whole Foods Market, Sherman Oaks","14311 Ventura Blvd, Sherman Oaks, CA, 91423",18,0
"Wismettac Asian Foods, Inc.","13409 Orden Dr, Santa Fe Springs, CA, 90670",18,0
Woodpecker Cabinets,"21512 Nordhoff St, Chatsworth, CA, 91311",5,0
"Woodward HRT, Inc.","25200 Rye Canyon Rd, Santa Clarita, CA, 91355",39,0
World Oil Corp.,"9302 Garfield Ave, South Gate, CA, 90280",7,0
YMI Jeanswear,"1155 S Boyle Ave, Los Angeles, CA, 90023",6,0
Yummy Foods Sunset,"3607 W Sunset Blvd, Los Angeles, CA, 90026",5,0
Zara,"3306 Glendale Galleria, Glendale, CA, 91210",3,0
Zenith Bag,"17625 Railroad St, City of Industry, CA, 91748",11,0
Zwick Construction,"2828 Santa Monica Blvd, Santa Monica, CA, 90404",13,0
